Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
Spindelabstand;Spindelabstand (Höhe zwischen den Anschlusspunkten oben und unten) in cm?;Objekt;;;;Heizflächen – statisch;Röhrenheizkörper;Zahl;;;cm;immer;Ja;Nein;Von Nabenmitte oben bis Nabenmitte unten messen (entspricht ungefähr der Bauhöhe). Zusammen mit Gliederzahl und Säulenzahl lässt sich die Norm-Heizleistung nachschlagen. Wenn nicht messbar: 'weiß nicht'.;Geometrie & Maße (Dimensionen);20;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;300;Fachkundig;-;;Objekt
Glieder;Anzahl der Glieder ('Knochen')?;Objekt;;;;Heizflächen – statisch;Röhrenheizkörper;Zahl;;;Stück;immer;Ja;Nein;Ein Glied ist ein senkrechtes Rohrelement. Einfach von links nach rechts zählen.;Geometrie & Maße (Dimensionen);30;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;300;Laie;-;;Objekt
Saeulenzahl;Bauart: Wie viele Säulen (Rohre) hat ein Glied?;Objekt;;;;Heizflächen – statisch;Röhrenheizkörper;Einzelauswahl;"1-säulig;2-säulig;3-säulig;4-säulig;5-säulig;6-säulig;weiß nicht";;-;immer;Ja;Nein;Von der Seite betrachten: Anzahl der hintereinanderliegenden Rohre je Glied. Das bestimmt die Bautiefe.;Geometrie & Maße (Dimensionen);40;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;300;Fachkundig;-;;Objekt
Anschlussart;Wie ist der Heizkörper angebunden?;Objekt;;;;Heizflächen – statisch;;Einzelauswahl;"seitlich (klassisch, 2 Rohre seitlich);von unten (Ventilheizkörper);Einrohr;weiß nicht";;-;immer;Ja;Nein;Seitlicher Anschluss = Vor- und Rücklauf treten seitlich ein. Anschluss von unten deutet auf einen klassischen Ventilheizkörper hin.;Heizung;50;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;300;Fachkundig;-;;Objekt
Absperrbar;Lässt sich der Heizkörper absperren (Ventil/Verschraubung am Rücklauf)?;Objekt;;;;Heizflächen – statisch;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Am unteren Anschluss oder in direkter Umgebung an den Leitungen sitzt oft eine Rücklaufverschraubung mit Schlitz/Kappe, mit der der Heizkörper abgesperrt werden kann.;Heizung;90;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;350;Fachkundig;-;;Objekt
Verkleidung;Ist der Heizkörper verkleidet oder eingebaut (Verkleidung, Möbel, Bank)?;Objekt;;;;Heizflächen – statisch;;Einzelauswahl;"frei;teilweise verkleidet;vollständig verkleidet/eingebaut;weiß nicht";;-;immer;Nein;Nein;Verkleidungen mindern die Wärmeabgabe und sind für die Bewertung wichtig.;Heizung;100;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;300;Laie;-;;Objekt
Schaeden;Sind sichtbare Schäden vorhanden? (Mehrfachauswahl);Objekt;;;;Heizflächen – statisch;;Mehrfachauswahl;"keine;Rost/Korrosion;Undichtigkeit (Wasseraustritt/Kalkspuren);Farbe blättert ab;Verformung/Beschädigung;weiß nicht";;-;immer;Ja;Nein;Mehrfachnennung möglich. Kalk- oder Rostspuren an den Anschlüssen deuten auf Undichtigkeiten hin.;Schäden / Mangel;110;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;200;Laie;-;;Objekt
Schaden_Foto;Foto des Schadens;Objekt;;;;Heizflächen – statisch;;Foto-Upload;;;-;«Schaeden» ungleich 'keine';Nein;Ja;Schadstelle möglichst deutlich zeigen. Falls nicht möglich, 'nicht möglich' wählen.;Schäden / Mangel;120;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;200;Laie;Schaden;;Objekt
Foto_Uebersicht;Übersichtsfoto des gesamten Heizkörpers;Objekt;;;;Heizflächen – statisch;;Foto-Upload;;;-;immer;Nein;Ja;Ganzen Heizkörper inkl. Anschlüsse und Umgebung ablichten.;Dokumentation / Foto;130;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;200;Laie;Übersicht;;Objekt
Typenschild_vorh;Ist ein Typenschild / Herstelleraufkleber vorhanden?;Objekt;;;;Heizflächen – statisch;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Ältere Gliederheizkörper haben oft keins. Neuere (Ventilheizkörper) tragen es meist seitlich oder oben. (Allgemein Formulieren oder in typ belassen bitte diskutieren);Dokumentation / Foto;140;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;200;Laie;-;;Objekt
Typenschild_Foto;Foto des Typenschilds;Objekt;;;;Heizflächen – statisch;;Foto-Upload;;;-;«Typenschild_vorh» = Ja;Nein;Nein;Scharf und lesbar fotografieren (Hersteller, Typ, Leistung).;Dokumentation / Foto;150;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;300;Laie;Typenschild;;Objekt
Ventil_vorh;Ist am Heizkörper ein Ventil vorhanden?;Objekt;;;;Heizflächen – statisch;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;Fast jeder wassergeführte Heizkörper hat am Vorlauf ein Ventil (mit oder ohne Thermostatkopf). Elektrische Heizkörper haben keins.;Heizung;85;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Ventil_Bauart;Um welche Ventilbauart handelt es sich?;Objekt;;;;Heizungsarmaturen;Heizkörperventil;Einzelauswahl;"Thermostatventil;Handregulierventil;Rücklaufverschraubung (separat);weiß nicht";;-;immer;Ja;Nein;Thermostatventile ermöglichen einen Thermostatkopf. Handregulierventile haben einen einfachen Drehgriff ohne Temperaturskala.;Heizung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Ventil_Voreinstellung;Hat das Ventil eine Voreinstellung (für den hydraulischen Abgleich)?;Objekt;;;;Heizungsarmaturen;Heizkörperventil;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;Voreinstellbare Ventile haben am Ventilfuß einen Ring mit Skala/Zahlen, der den Durchfluss begrenzt. Ermöglicht den hydraulischen Abgleich ohne Ventiltausch.;Heizung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;350;Fachkundig;-;;Sub-Objekt
Voreinstellwert;Welcher Voreinstellwert ist eingestellt (falls ablesbar)?;Objekt;;;;Heizungsarmaturen;Heizkörperventil;Text;;;-;«Ventil_Voreinstellung» = Ja;Nein;Nein;Zahl oder Buchstabe am Voreinstellring ablesen. Nicht erkennbar: 'weiß nicht'.;Heizung;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Ventil_Hersteller;Hersteller des Ventils (falls ablesbar)?;Objekt;;;;Heizungsarmaturen;Heizkörperventil;Text;;;-;immer;Nein;Nein;Herstellername vom Ventilkörper/Voreinstellring ablesen. Sonst 'weiß nicht' – das Foto genügt oft.;Heizung;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Ventil_Produkt;Produkt-/Typbezeichnung des Ventils (falls ablesbar)?;Objekt;;;;Heizungsarmaturen;Heizkörperventil;Text;;;-;immer;Nein;Nein;Typ-/Produktbezeichnung, falls auf dem Ventil erkennbar.;Heizung;50;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Ventil_Foto;Foto des Ventils / Voreinstellrings;Objekt;;;;Heizungsarmaturen;Heizkörperventil;Foto-Upload;;;-;immer;Nein;Nein;"Ventilfuß mit Voreinstellring möglichst nah und scharf ablichten. Falls nicht möglich, ""nicht möglich"" wählen.";Heizung;60;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;350;Fachkundig;Detail;;Sub-Objekt
Thermostatkopf_vorh;Ist auf dem Ventil ein Thermostatkopf montiert?;Objekt;;;;Heizungsarmaturen;Heizkörperventil;Ja/Nein;"Ja;Nein;weiß nicht";;-;«Ventil_Bauart» = Thermostatventil;Ja;Nein;Der Thermostatkopf ist der Drehregler mit Zahlen (meist 1–5), mit dem die Raumtemperatur eingestellt wird.;Heizung;70;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Sub-Objekt
Thermostat_Typ;Um welche Art Thermostatkopf handelt es sich?;Objekt;;;;Heizungsarmaturen;Thermostatkopf;Einzelauswahl;"manuell (Drehknopf);programmierbar (mit Display);smart/funkgesteuert;weiß nicht";;-;immer;Ja;Nein;Programmierbare und smarte Thermostate haben ein Display oder eine App-Anbindung.;Heizung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;-;;Sub-Objekt
Thermostat_Hersteller;Hersteller des Thermostatkopfs (falls ablesbar)?;Objekt;;;;Heizungsarmaturen;Thermostatkopf;Text;;;-;immer;Nein;Nein;Meist seitlich/oben am Kopf aufgedruckt. Sonst 'weiß nicht' – das Foto genügt oft.;Heizung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Thermostat_Produkt;Produkt-/Typbezeichnung des Thermostatkopfs (falls ablesbar)?;Objekt;;;;Heizungsarmaturen;Thermostatkopf;Text;;;-;immer;Nein;Nein;Typ-/Produktbezeichnung, falls erkennbar.;Heizung;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Thermostat_Foto;Foto des Thermostatkopfs (Typ/Hersteller);Objekt;;;;Heizungsarmaturen;Thermostatkopf;Foto-Upload;;;-;immer;Nein;Nein;"Nah genug für Hersteller/Modell. Wenn nicht möglich, ""nicht möglich"" wählen.";Heizung;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Typenschild;;Sub-Objekt
Nennweite;Nennweite / Durchmesser der Leitung?;Objekt;;;;Heizungsinstallation;Rohrleitung;Einzelauswahl;"DN10;DN15;DN20;DN25;DN32;DN40;DN50;>DN50;weiß nicht";;-;immer;Ja;Nein;"Falls aufgedruckt/erkennbar. Sonst grob nach Augenmaß oder „weiß nicht"".";Geometrie & Maße (Dimensionen);20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Laenge;Länge der Leitung in diesem Raum?;Objekt;;;;Heizungsinstallation;Rohrleitung;Zahl;;;m;immer;Ja;Nein;Grobe Länge des sichtbaren Abschnitts in diesem Raum.;Geometrie & Maße (Dimensionen);30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Funktion;Funktion der Leitung?;Objekt;;;;Heizungsinstallation;Rohrleitung;Einzelauswahl;"Vorlauf;Rücklauf;Vor-/Rücklauf (Zweirohr);Zirkulation;weiß nicht";;-;immer;Ja;Nein;"Vorlauf führt zum Verbraucher (wärmer), Rücklauf zurück. Bei Unsicherheit „weiß nicht"".";Heizung;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Material;Werkstoff der Leitung?;Objekt;;;;Heizungsinstallation;Rohrleitung;Einzelauswahl;"Stahl;Kupfer;Edelstahl;Mehrschichtverbund;Kunststoff;Guss;weiß nicht";;-;immer;Ja;Nein;Sichtbares Rohrmaterial. Kupfer = rötlich, verzinkter Stahl = grau/silbrig.;Heizung;50;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Verlegeart;Wie ist die Leitung verlegt?;Objekt;;;;Heizungsinstallation;Rohrleitung;Einzelauswahl;"Aufputz/sichtbar;Unterputz;im Estrich/Boden;in Schacht;abgehängt (Decke);erdverlegt;weiß nicht";;-;immer;Ja;Nein;Wie die Leitung geführt ist.;Heizung;60;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Gedaemmt;Ist die Leitung gedämmt?;Objekt;;;;Heizungsinstallation;Rohrleitung;Einzelauswahl;"ja, durchgehend;teilweise;nein;weiß nicht";;-;immer;Ja;Nein;"Dämmung = Isolierschlauch/-schale um das Rohr. Bei „ja""/„teilweise"" wird ein Dämmung-Objekt angelegt.";Bauphysik – Hülle;70;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Schaeden;Sichtbare Schäden an der Leitung? (Mehrfachauswahl);Objekt;;;;Heizungsinstallation;Rohrleitung;Mehrfachauswahl;"keine;Korrosion/Rost;Leckage/Feuchtespuren;weiß nicht";;-;immer;Ja;Nein;Kalk-/Rostspuren oder feuchte Stellen an Verbindungen deuten auf Undichtigkeiten.;Schäden / Mangel;90;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Foto_Uebersicht;Übersichtsfoto des Leitungsabschnitts;Objekt;;;;Heizungsinstallation;Rohrleitung;Foto-Upload;;;-;immer;Nein;Ja;Abschnitt inkl. Armaturen und Verlauf zeigen.;Dokumentation / Foto;100;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;Übersicht;;Objekt
Raumwechsel;Verlässt die Leitung diesen Raum?;Objekt;;;;Heizungsinstallation;Rohrleitung;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;"Der Leitung folgen, bis sie den Raum verlässt. Bei „Ja"" wird ein Folgeabschnitt angelegt.";Struktur & Verknüpfung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
NeuerRaum;In welchen Raum führt die Leitung?;Objekt;;;;Heizungsinstallation;Rohrleitung;Einzelauswahl;(Raumliste);;-;«Raumwechsel» = Ja;Ja;Nein;Zielraum aus der Raumliste wählen – daraus entsteht der Folgeabschnitt.;Struktur & Verknüpfung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Wanddurchbruch_flag;Führt die Leitung dabei durch einen Wanddurchbruch?;Objekt;;;;Heizungsinstallation;Rohrleitung;Ja/Nein;"Ja;Nein;weiß nicht";;-;«Raumwechsel» = Ja;Ja;Nein;"Nicht jeder Raumwechsel hat einen Durchbruch – z. B. offene Keller-/Lattenverschläge. Nur bei echtem Wand-/Deckendurchbruch „Ja"".";Struktur & Verknüpfung;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Daemm_Art;Art der Dämmung?;Objekt;;;;(Basis);Dämmung;Einzelauswahl;"Aluminiumummantelt;Alukaschiert;PVC-Mantel;Isolierschlauch;XPS;weiß nicht";;-;immer;Ja;Nein;Sichtbare Ausführung des Dämm-Mantels.;Bauphysik – Hülle;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Daemm_Formteil;Ist die Dämmung ein Formteil (vorgefertigt)?;Objekt;;;;(Basis);Dämmung;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;Vorgeformte Dämmschalen für Bögen/Armaturen sind Formteile mit Hersteller/Produkt. Vor Ort geschnittene Dämmung ist kein Formteil.;Bauphysik – Hülle;15;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Daemm_Hersteller;Hersteller des Formteils (falls ablesbar)?;Objekt;;;;(Basis);Dämmung;Text;;;-;«Daemm_Formteil» = Ja;Nein;Nein;Nur falls aufgedruckt/erkennbar. Sonst „weiß nicht“.;Bauphysik – Hülle;16;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Daemm_Produkt;Produkt-/Typbezeichnung des Formteils?;Objekt;;;;(Basis);Dämmung;Text;;;-;«Daemm_Formteil» = Ja;Nein;Nein;Typ-/Produktbezeichnung, falls erkennbar.;Bauphysik – Hülle;17;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Daemm_Staerke;Dämmstärke (falls messbar) in mm?;Objekt;;;;(Basis);Dämmung;Zahl;;;mm;immer;Nein;Nein;Dicke der Isolierung, falls messbar.;Bauphysik – Hülle;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Daemm_Anliegend;Liegt die Dämmung dicht an?;Objekt;;;;(Basis);Dämmung;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;Liegt die Dämmung überall dicht am Rohr an, oder gibt es Lücken/Spalten? Lücken mindern die Wirkung.;Bauphysik – Hülle;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Sub-Objekt
Daemm_Zustand;Zustand der Dämmung?;Objekt;;;;(Basis);Dämmung;Einzelauswahl;"intakt;beschädigt/lückenhaft;fehlt teilweise;weiß nicht";;-;immer;Nein;Nein;Beschädigungen und Lücken erfassen.;Bauphysik – Hülle;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;-;;Sub-Objekt
Daemm_Foto;Foto der Dämmung;Objekt;;;;(Basis);Dämmung;Foto-Upload;;;-;immer;Nein;Nein;Dämmung inkl. Übergänge/Lücken zeigen.;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Laie;Detail;;Sub-Objekt
WD_Bauteil;Durch welches Bauteil führt der Durchbruch?;Objekt;;;;(Basis);Wanddurchbruch;Einzelauswahl;"Innenwand;Außenwand;Geschossdecke;Bodenplatte;weiß nicht";;-;immer;Ja;Nein;Bestimmt u. a. Brandschutz- und Bauphysik-Relevanz.;Bauphysik – Hülle;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
WD_Abschottung;Ist eine Brandschutz-Abschottung vorhanden?;Objekt;;;;(Basis);Wanddurchbruch;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;"Abschottung dichtet den Durchbruch brandschutztechnisch ab. Bei „Ja"" folgt die Detailerfassung.";Bauphysik – Hülle;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
WD_Foto;Foto des Wanddurchbruchs;Objekt;;;;(Basis);Wanddurchbruch;Foto-Upload;;;-;immer;Nein;Nein;Durchbruch mit Umgebung zeigen.;Dokumentation / Foto;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;Detail;;Sub-Objekt
BS_Art;Art der Abschottung?;Objekt;;;;(Basis);Brandschutzbauteil (Abschottung);Einzelauswahl;"Brandschutzmanschette;Schott/Mörtel;Kissen/Schaum;weiß nicht";;-;immer;Ja;Nein;Bauart der Brandabschottung.;Bauphysik – Hülle;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;350;Fachkundig;-;;Sub-Objekt
BS_Kennzeichnung;Ist eine Kennzeichnung/Zulassung sichtbar?;Objekt;;;;(Basis);Brandschutzbauteil (Abschottung);Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Schilder/Aufkleber mit Zulassungsnummer am Schott.;Bauphysik – Hülle;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
BS_Foto;Foto der Kennzeichnung/Abschottung;Objekt;;;;(Basis);Brandschutzbauteil (Abschottung);Foto-Upload;;;-;immer;Nein;Nein;Kennzeichnung scharf und lesbar.;Dokumentation / Foto;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;350;Fachkundig;Typenschild;;Sub-Objekt
MP_Titel;Titel des Messpunkts;Objekt;;;;(Basis);Messpunkt;Text;;;-;immer;Ja;Nein;"Kurzer Name, z. B. „Abzweig Strang 3"".";Allgemein / Identifikation;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
MP_Beschreibung;Beschreibung;Objekt;;;;(Basis);Messpunkt;Text;;;-;immer;Nein;Nein;Was wird hier gemessen/dokumentiert?;Allgemein / Identifikation;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
MP_Mass;Maß (wiederholbar 1..x);Objekt;;;;(Basis);Messpunkt;Zahl;;;cm;immer;Ja;Nein;Ein oder mehrere Maße am Punkt. Feld ist wiederholbar.;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
MP_Foto;Foto des Messpunkts;Objekt;;;;(Basis);Messpunkt;Foto-Upload;;;-;immer;Nein;Ja;Punkt mit Maßbezug im Bild.;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;Detail;;Sub-Objekt
Energietraeger;Womit wird geheizt (Energieträger)?;Objekt;;;;Wärmeerzeuger;;Einzelauswahl;"Erdgas;Flüssiggas;Heizöl;Holz/Pellet;Strom;Fernwärme;Umweltwärme (Wärmepumpe);weiß nicht";;-;immer;Ja;Nein;Steuert die weiteren Fragen (z. B. Öltank nur bei Heizöl).;Heizung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Baujahr;Baujahr des Erzeugers?;Objekt;;;;Wärmeerzeuger;;Jahr;;;-;immer;Ja;Nein;"Vom Typenschild ablesen, sonst schätzen. Bei Unsicherheit „weiß nicht"".";Allgemein / Identifikation;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Nennleistung;Nennleistung in kW?;Objekt;;;;Wärmeerzeuger;;Zahl;;;kW;immer;Nein;Nein;Steht meist auf dem Typenschild.;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Objekt
Vorlauftemperatur;Eingestellte/maximale Vorlauftemperatur (°C)?;Objekt;;;;Wärmeerzeuger;;Zahl;;;°C;immer;Nein;Nein;Falls an der Regelung ablesbar. Wichtig für die Bewertung (Hoch-/Niedertemperatur).;Heizung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Objekt
Modulierend;Ist der Erzeuger modulierend?;Objekt;;;;Wärmeerzeuger;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Modulierend = Leistung wird stufenlos angepasst.;Heizung;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Objekt
Abgasanlage_vorh;Ist eine Abgasanlage vorhanden?;Objekt;;;;Wärmeerzeuger;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;"Bei Verbrennung (Gas/Öl/Holz) ja; bei Wärmepumpe/Fernwärme/Strom nein.";Heizung;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Oeltank_vorh;Ist ein Öltank vorhanden?;Objekt;;;;Wärmeerzeuger;;Ja/Nein;"Ja;Nein;weiß nicht";;-;«Energietraeger» = Heizöl;Ja;Nein;Meist im Keller/Nebenraum.;Heizung;50;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
Pelletsilo_vorh;Ist ein Pelletlager/-silo vorhanden?;Objekt;;;;Wärmeerzeuger;;Ja/Nein;"Ja;Nein;weiß nicht";;-;«Energietraeger» = Holz/Pellet;Ja;Nein;Lagerraum, Gewebetank oder Erdtank.;Heizung;60;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;Objekt
